id,name,parent_id
1,اسلام آباد ڈسٹرکٹ,1
2,بدین ڈسٹرکٹ,2
3,ٹھٹھہ ڈسٹرکٹ,2
4,سجاول ڈسٹرکٹ,2
5,جیکب آباد ڈسٹرکٹ,3
6,شکار پور ڈسٹرکٹ,3
7,کشمور ڈسٹرکٹ,3
8,ٹنڈو الہیار ڈسٹرکٹ,4
9,ٹنڈو محمد خان ڈسٹرکٹ,4
10,جامشورو ڈسٹرکٹ,4
11,حیدرآباد میٹروپولیٹن,4
12,مٹیاری ڈسٹرکٹ,4
13,خیر پور میرس ڈسٹرکٹ,5
14,سکھر ڈسٹرکٹ,5
15,سکھر میٹروپولیٹن,5
16,گھوٹکی ڈسٹرکٹ,5
17,دادو ڈسٹرکٹ,6
18,قمبر شہداد کوٹ ڈسٹرکٹ,6
19,لاڑکانہ ڈسٹرکٹ,6
20,لاڑکانہ میٹروپولیٹن,6
21,تھر پارکر ڈسٹرکٹ,7
22,عمر کوٹ ڈسٹرکٹ,7
23,میرپورخاص میٹروپولیٹن,7
24,میرپورخاص ڈسٹرکٹ,7
25,سانگھڑ ڈسٹرکٹ,8
26,نواب شاہ میٹروپولیٹن,8
27,نوابشاہ ڈسٹرکٹ,8
28,نوشہرو فیروز ڈسٹرکٹ,8
29,چاغی ڈسٹرکٹ,9
30,خاران ڈسٹرکٹ,9
31,ڈیرہ بگٹی ڈسٹرکٹ,10
32,سبی ڈسٹرکٹ,10
33,آواران ڈسٹرکٹ,11
34,حب ڈسٹرکٹ,11
35,خضدا ر ڈسٹرکٹ,11
36,قلات ڈسٹرکٹ,11
37,لسبیلہ ڈسٹرکٹ,11
38,مستونگ ڈسٹرکٹ,11
39,کوئٹہ میٹروپولیٹن,12
40,بارکھان ڈسٹرکٹ,13
41,دکی ڈسٹرکٹ,13
42,موسیٰ خیل ڈسٹرکٹ,13
43,کیچ ڈسٹرکٹ,14
44,گوادر ڈسٹرکٹ,14
45,اوستہ محمد ڈسٹرکٹ,15
46,جعفرآباد ڈسٹرکٹ,15
47,جھل مگسی ڈسٹرکٹ,15
48,صحبت پور ڈسٹرکٹ,15
49,کچھی ڈسٹرکٹ,15
50,نصیرآباد ڈسٹرکٹ,15
51,بہاولپور ڈسٹرکٹ,16
52,بہاولپور میٹروپولیٹن,16
53,بہاولنگر ڈسٹرکٹ,16
54,رحیم یار خان ڈسٹرکٹ,16
55,ڈی جی خان ڈسٹرکٹ,17
56,راجن پور ڈسٹرکٹ,17
57,کوٹ ادو ڈسٹرکٹ,17
58,لیہ ڈسٹرکٹ,17
59,مظفر گڑھ ڈسٹرکٹ,17
60,اٹک ڈسٹرکٹ,18
61,تلہ گنگ ڈسٹرکٹ,18
62,جہلم ڈسٹرکٹ,18
63,چکوال ڈسٹرکٹ,18
64,راولپنڈی ڈسٹرکٹ,18
65,راولپنڈی میٹروپولیٹن,18
66,مری ڈسٹرکٹ,18
67,اوکاڑہ ڈسٹرکٹ,19
68,پاکپتن ڈسٹرکٹ,19
69,ساہیوال ڈسٹرکٹ,19
70,بھکر ڈسٹرکٹ,20
71,خوشاب ڈسٹرکٹ,20
72,سرگودھا ڈسٹرکٹ,20
73,سرگودھا میٹروپولیٹن,20
74,میانوالی ڈسٹرکٹ,20
75,شیخوپورہ ڈسٹرکٹ,21
76,قصور ڈسٹرکٹ,21
77,ننکانہ ڈسڑکٹ,21
78,ٹوبہ ڈسٹرکٹ,22
79,جھنگ ڈسٹرکٹ,22
80,چنیوٹ ڈسٹرکٹ,22
81,فیصل آباد ڈسٹرکٹ,22
82,فیصل آباد میٹروپولیٹن,22
83,حافظ آباد ڈسٹرکٹ,23
84,گجرات ڈسٹرکٹ,23
85,گجرات میٹروپولیٹن,23
86,منڈی بہاؤ الدین ڈسٹرکٹ,23
87,وزیر آباد ڈسٹرکٹ,23
88,سیالکوٹ ڈسٹرکٹ,24
89,سیالکوٹ میٹروپولیٹن,24
90,گوجرانوالہ ڈسٹرکٹ,24
91,گوجرانوالہ میٹروپولیٹن,24
92,نارووال ڈسٹرکٹ,24
93,خانیوال ڈسٹرکٹ,25
94,لودھراں ڈسٹرکٹ,25
95,ملتان ڈسٹرکٹ,25
96,ملتان میٹروپولیٹن,25
97,وہاڑی ڈسٹرکٹ,25
98,بنوں ڈسٹرکٹ,26
99,لکی مروت ڈسٹرکٹ,26
100,پشاور ڈسٹرکٹ,27
101,پشاور میٹروپولیٹن,27
102,چارسدہ ڈسٹرکٹ,27
103,خیبر ڈسٹرکٹ,27
104,مہمند ڈسٹرکٹ,27
105,نوشہرہ ڈسٹرکٹ,27
106,پہاڑ پور ڈسٹرکٹ,28
107,ٹانک ڈسٹرکٹ,28
108,ڈیرہ اسماعیل خان ڈسٹرکٹ,28
109,کوہاٹ ڈسٹرکٹ,29
110,اپر دیر ڈسٹرکٹ,30
111,بونیر ڈسٹرکٹ,30
112,سوات ڈسٹرکٹ,30
113,لوئیر دیر ڈسٹرکٹ,30
114,مالاکنڈ ڈسٹرکٹ,30
115,صوابی ڈسٹرکٹ,31
116,مردان ڈسٹرکٹ,31
117,ایبٹ آباد ڈسٹرکٹ,32
118,بٹگرام ڈسٹرکٹ,32
119,مانسہرہ ڈسٹرکٹ,32
120,ہری پور ڈسٹرکٹ,32
121,بحریہ ڈسٹرکٹ,33
122,تھانہ بولا خان ڈسٹرکٹ,33
123,گڈاپ ڈسٹرکٹ,33
124,مراد میمن ڈسٹرکٹ,33
125,صدر ڈسٹرکٹ,34
126,گارڈن ڈسٹرکٹ,34
127,گلشن ڈسٹرکٹ,34
128,ایئر پورٹ ڈسٹرکٹ,35
129,کورنگی ڈسٹرکٹ,35
130,ملیر ڈسٹرکٹ,35
131,کراچی ساؤتھ ڈسٹرکٹ,36
132,گلزار ہجری ڈسٹرکٹ,37
133,گلشن معمار ڈسٹرکٹ,37
134,ناظم آباد ڈسٹرکٹ,37
135,نیو کراچی ڈسٹرکٹ,37
136,اورنگی ڈسٹرکٹ,38
137,سرجانی ڈسٹرکٹ,38
138,کیماڑی ڈسٹرکٹ,38
139,باغ ڈسٹرکٹ,39
140,پونچھ ڈسٹرکٹ,39
141,حویلی ڈسٹرکٹ,39
142,سدھنوتی ڈسٹرکٹ,39
143,مظفر آباد ڈسٹرکٹ,40
144,نیلم ڈسٹرکٹ,40
145,ہٹیاں ڈسٹرکٹ,40
146,بھمبر ڈسٹرکٹ,41
147,کوٹلی ڈسٹرکٹ,41
148,میر پور ڈسٹرکٹ,41
149,سکردو ڈسٹرکٹ,42
150,شگر ڈسٹرکٹ,42
151,استور ڈسٹرکٹ,43
152,غذر ڈسٹرکٹ,44
153,گلگت ڈسٹرکٹ,44
154,ہنزہ ڈسٹرکٹ,44
155,لاہور جنوبی ڈسٹرکٹ,45
156,لاہور سنٹرل ڈسٹرکٹ,45
157,لاہور شمالی ڈسٹرکٹ,45
158,لاہور کینٹ ڈسٹرکٹ,45
