id,name,parent_id
1,کراچی سنٹرل ڈویژن,1
2,کراچی بن قاسم ڈویژن,1
3,صحرائے مدینہ  ڈویژن (فرضی),2
4,کراچی ویسٹ ڈویژن,1
5,کراچی ایسٹ ڈویژن,1
6,کراچی ساؤتھ ڈویژن,1
7,جیکب آباد ڈویژن,3
8,لاڑکانہ ڈویژن,3
9,سکھر ڈویژن,3
10,نوابشاہ (شہید بینظیر آباد) ڈویژن,3
11,میرپورخاص ڈویژن,3
12,بنبھورڈویژن,3
13,حیدر آباد ڈویژن,3
14,لورالائی ڈویژن,4
15,نصیرآباد ڈویژن,4
16,رخشان ڈویژن,4
17,سبی ڈویژن,4
18,کوئٹہ ڈویژن,4
19,مکران ڈویژن,4
20,قلات ڈویژن,4
21,بہاولپور ڈویژن,5
22,ڈی جی خان ڈویژن,5
23,سرگودھا ڈویژن,5
24,فیصل آباد ڈویژن,5
25,ساہیوال ڈویژن,5
26,گوجرانوالہ ڈویژن,5
27,گجرات ڈویژن,5
28,شیخوپورہ  ڈویژن,5
29,لاہور  ڈویژن (فرضی),6
30,راولپنڈی ڈویژن,5
31,اسلام آباد ڈویژن,7
32,مالاکنڈ ڈویژن,8
33,پشاور ڈویژن,8
34,بنوں ڈویژن,8
35,مردان ڈویژن,8
36,کوہاٹ ڈویژن,8
37,ڈیرہ اسماعیل خان ڈویژن,8
38,ہزارہ ڈویژن,8
39,پونچھ ڈویژن,9
40,میر پور ڈویژن,9
41,مظفرآباد ڈویژن,9
42,ملتان ڈویژن,5
43,گلگت ڈویژن,10
44,بلتستان ڈویژن,10
45,دیامر ڈویژن,10
