id,name,parent_id
1, ایریا1,1
2, ایریا2,1
3, ایریا3,1
4, ایریا4,1
5, ایریا5,1
6, ایریا10,2
7, ایریا6,2
8, ایریا7,2
9, ایریا8,2
10, ایریا9,2
11, ایریا1,3
12, ایریا11,4
13, ایریا12,4
14, ایریا13,4
15, ایریا1,5
16, ایریا2,5
17, فیز 1تا7,6
18, فیز8,6
19," فیز8 (بحریہ ٹاؤن، ڈی ایچ 4 ویلجز)",6
20, بدین سب تحصیل ,7
21, بدین سٹی,7
22, ٹنڈو باگو سب تحصیل,9
23, شہید فاضل راہو سب تحصیل,10
24, سب تحصیل ماتلی ,11
25, ماتلی سٹی,11
26, ٹھٹھہ سب تحصیل,12
27, ٹھٹھہ سٹی,12
28, میر پور ساکروسب تحصیل,15
29, سجاول سٹی ,17
30, میرپوربٹھورو   سب تحصیل,20
31, ٹھل سٹی,21
32, سب  تحصیل ٹھل1,21
33, سب  تحصیل ٹھل2,21
34, سب  تحصیل ٹھل3,21
35, جیکب آباد سٹی,22
36, سب تحصیل جیکب آباد 1,22
37, سب تحصیل جیکب آباد 2,22
38, گڑہی خیرو سب تحصیل,23
39, خان پور  سب تحصیل,24
40, شکارپور پور سٹی ,25
41, گڑھی یاسین   سب تحصیل,26
42, لکھی غلام شاہ سب تحصیل,27
43, تنگوانی سب تحصیل,28
44, سب تحصیل تنگوانی 2,28
45, سب تحصیل کشمور1,29
46, سب تحصیل کشمور2,29
47, کشمور سٹی ,29
48, سب تحصیل کندھ کوٹ1,30
49, سب تحصیل کندھ کوٹ2,30
50, کندھ کوٹ  سٹی ,30
51,  ٹنڈوالہیار  سٹی,31
52, ٹنڈو محمد خان سٹی,36
53, سیہون سٹی,37
54, جامشوروسٹی,38
55, کوٹری سٹی,38
56, سب  ٹاؤن  عثمان آباد ,40
57, سب  ٹاؤن پریٹ آباد   ,40
58, سب ٹاؤن   پھلیلی,40
59, سب ٹاؤن   لیاقت کالونی,40
60, سب ٹاؤن   نورانی بستی,40
61,  ٹنڈو جام سٹی سب  ٹاؤن,41
62, سب ٹاؤن   کسانہ موری,41
63, سب ٹاؤن  موسٰی کھٹیاں,41
64,    سب  ٹاؤن ٹنڈو عالم مری,42
65, سب ٹاؤن ٹنڈوفضل  ,42
66, سب ٹاؤن جھن موری,42
67, سب ٹاؤن شاہ قاسم ,42
68,     سب  ٹاؤن لطیف آباد 02,43
69, سب ٹاؤن   لطیف آباد 03,43
70, سب ٹاؤن   لطیف آباد05,43
71, سب ٹاؤن   لطیف آباد10,43
72,   سب  ٹاؤن آفندی ٹاؤن,45
73, سب  ٹاؤن حالی روڈ,45
74, سب ٹاؤن ٹنڈو یوسف,45
75, سب ٹاؤن گلشن زیل پاک,45
76,      سب  ٹاؤن لطیف آباد 08,46
77, سب ٹاؤن کوہسار,46
78, سب ٹاؤن لطیف آباد 09,46
79, سب ٹاؤن لطیف آباد 11,46
80, سب ٹاؤن لطیف آباد 12,46
81, سب  ٹاؤن سٹیزن کالونی,47
82, سب ٹاؤن علی پیلس,47
83, سب ٹاؤن نسیم نگر,47
84, سب ٹاؤن نقاش ولاز,47
85, سب  ٹاؤن ہیرآباد,48
86, سب ٹاؤن   صدر,48
87, سب ٹاؤن سرفراز کالونی,48
88, سب ٹاؤن شاہی بازار,48
89, سب  ٹاؤن بائی پاس,49
90, سب ٹاؤن اسرٰی,49
91, سب ٹاؤن ہالہ ناکہ,49
92, مٹیاری سب تحصیل,51
93, ہالہ سٹی,52
94, ٹھری میرواھ سب تحصیل,53
95, خیر پور میرس  سٹی ,54
96, خیرپورمیرس سب تحصیل,54
97, صوبوڈیرو سب تحصیل,55
98, پکاچانک سٹی ,56
99, کنگری  سب تحصیل,181
100, کوٹ ڈیجی سب تحصیل,58
101, کھوڑا سٹی ,59
102, گمبٹ سٹی ,59
103, پنو عاقل  سٹی ,61
104, پنوعاقل سب تحصیل,61
105, روہڑی سب تحصیل,62
106, روہڑی سٹی ,62
107,  جئےشاہ ٹاون سب ٹاون3,64
108, جئےشاہ ٹاون سب ٹاون1,64
109, جئےشاہ ٹاون سب ٹاون2,64
110, مکی شاہ ٹاون سب ٹاون1,65
111, مکی شاہ ٹاون سب ٹاون2,65
112, مکی شاہ ٹاون سب ٹاون3,65
113, نثار احمد صدیقی ٹاون سب ٹاون1,66
114, نثار احمد صدیقی ٹاون سب ٹاون2,66
115, نثار احمد صدیقی ٹاون سب ٹاون3,66
116, اوباڑو سب تحصیل,67
117, اوباڑو سٹی ,67
118, ڈھرکی  سٹی ,69
119, سرحد سٹی ,70
120, گھوٹکی سب تحصیل,70
121, گھوٹکی سٹی ,70
122, میرپور ماتھیلو سب تحصیل,71
123, میرپور ماتھیلو سٹی ,71
124,  سب تحصیل جوہی  2,72
125, جوہی   سب تحصیل,72
126,  سب تحصیل  خیرپوناتھن شاہ   ,73
127, خیرپورناتھن شاہ سٹی ,73
128,  سب تحصیل  دادو 1,74
129, دادو سٹی ,74
130, سب تحصیل دادو 2,74
131,   میہڑ سب تحصیل,75
132,  میہڑ سٹی ,75
133, شہداد کوٹ سٹی ,77
134,  قمبر شریف  سب تحصیل,79
135, باڈھ سٹی,84
136, رتو ڈیروسب تحصیل,85
137, سب تحصیل عمرکوٹ,100
138, عمر کوٹ سٹی,100
139,  ڈگری سٹی,106
140, سندھڑی  سب تحصیل,107
141, کوٹ غلام محمد سب تحصیل,109
142,  ٹنڈو آدم سٹی,110
143,  سانگھڑ سٹی,112
144,  سانگھڑسب تحصیل,112
145, سنجھورو  سب تحصیل,113
146, شہداد پور سٹی,114
147, شہدادپور سب تحصیل,114
148, کھپرو سب تحصیل,115
149, کھپرو سٹی,115
150, اولڈ نواب شاہ سب ٹاؤن,116
151, دوڑسب تحصیل,118
152, سکرنڈ سب تحصیل,119
153, سکرنڈ سٹی ,119
154, قاضی احمد  سب تحصیل,120
155, بھریا  سب تحصیل,121
156, کنڈیارو سب تحصیل,122
157, کنڈیارو سٹی ,122
158, محراب پور سٹی,123
159, مورو سب تحصیل,124
160, مورو سٹی,124
161, پڈعیدن  سٹی,125
162, نوشہرو فیروز سب تحصیل,125
163, نوشہرو فیروزسٹی ,125
164, سب تحصیل تافتان,126
165, سب تحصیل چاغی,127
166, سب  تحصیل یک مچ,128
167, سب تحصیل دالبندین,128
168, سب تحصیل نوکنڈی,129
169, المرگ,130
170, پتکن,131
171, ٹو ملک ,132
172, خاران,133
173, سراوان,134
174, سرخاران,135
175, پھیلاغ,136
176, پیرکوہ ,137
177, ڈیرہ بگٹی,138
178, سوئی,139
179, لوٹی,140
180, سبی,141
181, لہڑی,142
182, سانگان,143
183, منڈائی,143
184, آواران,144
185, جھاؤ,145
186, کورک,146
187, گیشکور,147
188, مشکے,148
189, حب سب تحصیل,149
190, دریجی,150
191, سونمیانی,151
192, گڈانی,152
193, باغبانہ,153
194, خضدا ر,153
195, زہری,154
196, کرخ,155
197, گریشہ,156
198, نال,156
199, اورناچ,157
200, سارونہ,157
201, وڈھ,157
202, جوہان,158
203, قلات,159
204, گزگ,160
205, منگوچر,161
206, اوتھل,162
207, بیلہ,163
208, کنراج,164
209, لاکھڑا,165
210, لیاری,166
211, سب تحصیل کردگیپ,167
212, سب تحصیل  گھڈ کوچہ,168
213, سب تحصیل مستونگ,169
214, چلتن,170
215, دشت,171
216, زرغون,172
217, سب ٹاؤن سریاب ٹاؤن ,173
218, کانک,174
219, کنٹونمنٹ,175
220, سب تحصیل بارکھان,176
221, سب تحصیل بھگاؤ,176
222, سب تحصیل وٹاکری,176
223, سب تحصیل رڑکن,177
224, سب تحصیل رکنی ,177
225, سب تحصیل دکی,178
226, توئی سر,179
227, درگ,180
228, کنگری,181
229, موسٰی خیل,182
230, بلیدہ,183
231, تربت,184
232, تمپ,185
233, دشت خدان,186
234, ہوشاب,187
235, اوڑمارہ,188
236, جیوانی,189
237, پُشکان,190
238, گوادر,190
239, اوستہ محمد,191
240, گنداخہ,192
241,  کیٹل فارم,193
242, جھٹ پٹ,193
243, سب تحصیل جھل مگسی,194
244, سب تحصیل گنداواہ,195
245, سب تحصیل میرپور,196
246, پہنور,197
247, حیر دین,198
248, سید محمد کنرانی,199
249, صحبت پور,200
250, فرید آباد,201
251, مانجھی پور,202
252, بھاگ,203
253, ڈھاڈر,204
254, سنی,205
255, کھٹن سب,206
256, مچھ,207
257, باباکوٹ,208
258, تمبو,209
259, چھتر,210
260, ڈیرہ مراد جمالی ,211
261, منگولی,211
262, غفورآباد,212
263, لانڈھی,213
264, میر حسن,214
265, اوچشریف,215
266, چنی گوٹھ,215
267, چوک بھٹہ,215
268, سب تحصیل احمد پور شرقیہ سٹی,215
269, مبارک پور,215
270, خانقاہ شریف,216
271, لال سوہانرا,216
272, مسافر خانہ,216
273, جمال پور,217
274, حاصل پور,217
275, خیرپورٹامیوالی سب تحصیل,218
276, سب تحصیل ٹیل والہ,219
277, سب تحصیل ہیڈ راجکاں,219
278, یزمان منڈی,219
279, سب ٹاؤن سیٹلائٹ ٹاؤن,220
280, سب ٹاؤن عباسہ ٹاؤن,221
281, سب ٹاؤن ماڈل ٹاؤن,502
282, سب تحصیل بہاولنگر سٹی,223
283, سب تحصیل جھلن,223
284, سب تحصیل چک مدرسہ,223
285, سب تحصیل ڈونگہ بونگہ,223
286, چشتیاں(1),224
287, چشتیاں(2),224
288, چشتیاں(3),224
289, چشتیاں(4),224
290, فورٹ عباس,225
291, کھچی والہ,225
292, مروٹ,225
293, سب تحصیل کمیڑا,226
