id,name,parent_id
1,گلبرگ ٹاؤن,1
2,نارتھ ناظم آباد ٹاؤن,1
3,ناظم آباد ٹاؤن,1
4,لیاقت آباد ٹاؤن,1
5,نارتھ کراچی ٹاؤن,2
6,نیو کراچی ٹاؤن,2
7,لانڈھی ٹاؤن,3
8,کورنگی ٹاؤن,3
9,ماڈل ٹاؤن,4
10,شاہ فیصل ٹاؤن,4
11,انڈسٹریل ایریا,4
12,گلزار ہجری ٹاؤن,5
13,صفورہ ٹاؤن,5
14,کاٹھورٹاؤن,6
15,گڈاپ ٹاؤن,7
16,کنڈ جھنگ ٹاؤن,7
17,ٹول پلازہ ٹاؤن,7
18,بحریہ ٹاؤن,6
19,تھانہ بولا خان ٹاؤن,8
20,تونگ ٹاؤن,8
21,کرچات ٹاؤن,8
22,نوری آباد ٹاؤن,6
23,سری ٹاؤن,8
24,سہراب گوٹھ ٹاؤن,9
25,گلشن معمار ٹاؤن,9
26,ابراہیم حیدری ٹاؤن,3
27,قائد آباد ٹاؤن,10
28,بن قاسم ٹاؤن,10
29,درسانہ چھنہ ٹاؤن,11
30,مراد میمن ٹاؤن,11
31,سعید آباد ٹاؤن,12
32,بلدیہ ٹاؤن,12
33,ماڑی پور ٹاؤن,12
34,کیماڑی  ٹاؤن,12
35,سائٹ  ٹاؤن,12
36,اورنگی ٹاؤن,13
37,مومن آباد ٹاؤن,13
38,منگھوپیر ٹاؤن,13
39,فورکے چورنگی,14
40,سرجانی ٹاؤن,14
41,خدا کی بستی,14
42,جناح ٹاؤن,15
43,گلشن اقبال ٹاؤن,15
44,چنیسر ٹاؤن,15
45,گلستان جوہر ٹاؤن,15
46,ڈیفنس,16
47,لائنز ایریا,17
48,صدر ٹاؤن,17
49,کلفٹن ٹاؤن,16
50,گارڈن ٹاؤن,18
51,کھارادر ٹاؤن,17
52,لیاری ٹاؤن,18
53,چاکیواڑہ ٹاؤن,18
54,لکھی غلام شاہ تحصیل,19
55,خان پور تحصیل,19
56,شکارپور تحصیل,19
57,گڑھی یاسین تحصیل,19
58,قبو سعید خان تحصیل,20
59,میرو خان تحصیل,20
60,سجاول جونیجو تحصیل,20
61,قمبر شریف تحصیل,20
62,وارھ تحصیل,20
63,شہداد کوٹ تحصیل,20
64,نصیرآباد تحصیل,20
65,کشمور تحصیل,21
66,تنگوانی تحصیل,21
67,کندھ کوٹ تحصیل,21
68,گڑہی خیرو تحصیل,22
69,جیکب آباد تحصیل,22
70,ٹھل تحصیل,22
71,ایمپائر ٹاؤن,23
72,دڑی ٹاؤن,23
73,سچل ٹاؤن,23
74,حیدری ٹاؤن,23
75,ڈوکری تحصیل,24
76,باقرانی تحصیل,24
77,رتو ڈیرو تحصیل,24
78,لاڑکانہ تحصیل,24
79,کوٹ ڈیجی تحصیل,25
80,صوبوڈیرو تحصیل,25
81,نارا تحصیل,25
82,ٹھری میرواھ تحصیل,25
83,کنگری تحصیل,25
