id,name,parent_id
1, گلبرگ ٹاؤن یوسی 1(النور سوسائٹی) ,1105
2, گلبرگ ٹاؤن یوسی 2 (گلبرگ) ,1105
3, گلبرگ ٹاؤن یوسی 3(یوسف پلازہ) ,1105
4, گلبرگ ٹاؤن یوسی 4(واٹر پمپ محفوظ شیر مال),1105
5, گلبرگ ٹاؤن یوسی 5(دستگیر) ,1105
6, گلبرگ ٹاؤن یوسی 6(عزیز آباد ایف بی ایریا) ,1105
7, گلبرگ ٹاؤن یوسی 7( حسین آباد) ,1105
8, گلبرگ ٹاؤن یوسی 8(عائشہ منزل) ,1105
9, یوسی نیا ناظم آباد ,1107
10, نارتھ ناظم آباد ٹاؤن یوسی 2(شادمان) ,1107
11, نارتھ ناظم آباد ٹاؤن یوسی 4(بفرزون) ,1107
12, نارتھ ناظم آباد ٹاؤن یوسی 5(تیموریا) ,1107
13, نارتھ ناظم آباد ٹاؤن یوسی 6(سخی حسن) ,1107
14, نارتھ ناظم آباد ٹاؤن یوسی 7(حیدری) ,1107
15, نارتھ ناظم آباد ٹاؤن یوسی 8(کھنڈو گوٹھ) ,1107
16, نارتھ ناظم آباد ٹاؤن یوسی 9(پہاڑ گنج) ,1107
17, نارتھ ناظم آباد ٹاؤن یوسی 10(مصطفی آباد ),1107
18, منگھو پیر ٹاؤن یوسی 14(میانوالی),1107
19, ناظم آباد ٹاؤن یوسی1(پاپوش),1108
20, ناظم آباد ٹاؤن یوسی2(ناظم آباد چھوٹا میدان) ,1108
21, ناظم آباد ٹاؤن یوسی3(ہادی مارکیٹ) ,1108
22," ناظم آباد ٹاؤن یوسی5(وحید آباد،ناظم آباد) ",1108
23, ناظم آباد ٹاؤن یوسی7(گلبہار ) ,1108
24," ناظم آباد ٹاؤن یوسی4( گول مارکیٹ،جلال آباد)",1108
25, مورڑومیربحرٹاؤن یوسی3(حسرت موہانی کالونی ) ,1108
26, مورڑو میربحر ٹاؤن یوسی2(بڑا بورڈ) ,1108
27, ناظم آباد ٹاؤن یوسی 6(حاجی مرید گوٹھ) ,1106
28," لیاقت آباد ٹاؤن یوسی 1(موسیٰ کالونی،ایف اسی ایریا) ",1106
29, لیاقت آباد ٹاؤن یوسی 2(شریف آباد) ,1106
30, لیاقت آباد ٹاؤن یوسی 3(سکندر آباد) ,1106
31," لیاقت آباد ٹاؤن یوسی 4(صرافہ بازار،5،6نمبر) ",1106
32, لیاقت آباد ٹاؤن یوسی 5(سپر مارکیٹ) ,1106
33, لیاقت آباد ٹاؤن یوسی 6( بی ون ایریا سندھی ہوٹل ) ,1106
34, لیاقت آباد ٹاؤن یوسی 7(سی ایریا) ,1106
35," نارتھ ناظم آباد ٹاؤن یوسی 1(کلیانہ ، سرسید) ",1109
36, نارتھ ناظم آباد ٹاؤن یوسی 3(سیکٹر 11ای) ,1109
37, نیوکراچی ٹاؤن یوسی 1(شاہنواز بھٹو ) ,1110
38, نیوکراچی ٹاؤن یوسی 2(گلشن سعید) ,1110
39, نیوکراچی ٹاؤن یوسی 3(اجمیر نگری) ,1110
40, نیوکراچی ٹاؤن یوسی 4(کالا اسکول),1110
41, نیوکراچی ٹاؤن یوسی5 (مصطفی کالونی) ,1110
42, نیوکراچی ٹاؤن یوسی 6(خمیسو گوٹھ) ,1110
43, نیوکراچی ٹاؤن یوسی 7(مدینہ کالونی) ,1110
44, نیوکراچی ٹاؤن یوسی 8(فیصل کالونی) ,1110
45, نیوکراچی ٹاؤن یوسی 9(11 ڈی کار بازار) ,1109
46, نیوکراچی ٹاؤن یوسی 10(گودھرا) ,1109
47, نیوکراچی ٹاؤن یوسی 11(جماعت خانہ) ,1109
48, نیوکراچی ٹاؤن یوسی 12(11بی) ,1109
49, نیوکراچی ٹاؤن یوسی 13(12 دری) ,1109
50, لانڈھی ٹاؤن یوسی 1(کورنگی ساڑھے 3) ,1096
51, لانڈھی ٹاؤن یوسی 2(کلوچوک) ,1096
52, لانڈھی ٹاؤن یوسی 3(کورنگی نمبر5) ,1096
53, لانڈھی ٹاؤن یوسی 4(چراغ ہوٹل) ,1096
54, لانڈھی ٹاؤن یوسی 5(بابر مارکیٹ ) ,1096
55, لانڈھی ٹاؤن یوسی 6(چھوٹی مارکیٹ) ,1096
56, لانڈھی ٹاؤن یوسی 7(لانڈھی 4) ,1096
57," لانڈھی ٹاؤن یوسی 8(51سی،51ڈی) ",1096
58, لانڈھی ٹاؤن یوسی 9(کورنگی 6 مارکیٹ) ,1096
59, لانڈھی ٹاؤن یوسی 10(کورنگی ساڑھے پانچ ) ,1096
60, کورنگی ٹاؤن یوسی1(قیوم آباد) ,1095
61," کورنگی ٹاؤن یوسی2(کراسنگ،دارالسلام سوسائٹی) ",1095
62, کورنگی ٹاؤن یوسی3(ناصرکالونی) ,1095
63, کورنگی ٹاؤن یوسی4(32 اے ضیاء کالونی) ,1095
64," کورنگی ٹاؤن یوسی5(35ڈی،35 ایف) ",1095
65, کورنگی ٹاؤن یوسی6(گودھرا کالونی کورنگی نمبر1) ,1095
66," کورنگی ٹاؤن یوسی7(41بی کوسٹ گارڈ چورنگی،رحیم آباد) ",1095
67, کورنگی ٹاؤن یوسی8(غوث پاک روڈ ) ,1095
